# Ag_b,Pd_b,Pt_b,Ru_b,Ag_f,Pd_f,Pt_f,Ru_f,Ag_f3,Pd_f3,Pt_f3,Ru_f3,S_d
0.20,0.00,0.10,0.70,0.47,0.00,0.44,0.09,0.22,0.00,0.37,0.41,0.0567
0.20,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.10,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.10,0.80,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.10,0.80,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.10,0.70,0.20,0.00,0.10,0.69,0.21,0.00,0.11,0.67,0.22,0.00,0.7267
0.10,0.70,0.10,0.10,0.11,0.75,0.14,0.00,0.12,0.67,0.14,0.08,0.4617
0.10,0.70,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.10,0.60,0.30,0.00,0.11,0.62,0.27,0.00,0.11,0.58,0.31,0.00,0.7700
0.10,0.60,0.20,0.10,0.11,0.66,0.23,0.00,0.11,0.60,0.22,0.07,0.5767
0.10,0.60,0.10,0.20,0.12,0.80,0.08,0.00,0.12,0.62,0.12,0.15,0.4033
0.10,0.60,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.10,0.50,0.40,0.00,0.10,0.53,0.37,0.00,0.10,0.49,0.41,0.00,0.9233
0.10,0.50,0.30,0.10,0.11,0.56,0.33,0.00,0.11,0.50,0.32,0.07,0.6183
0.10,0.50,0.20,0.20,0.14,0.60,0.26,0.00,0.12,0.51,0.23,0.14,0.5133
0.10,0.50,0.10,0.30,0.12,0.72,0.16,0.00,0.12,0.54,0.13,0.21,0.3600
0.10,0.50,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.10,0.40,0.50,0.00,0.11,0.41,0.48,0.00,0.10,0.39,0.51,0.00,0.9650
0.10,0.40,0.40,0.10,0.11,0.44,0.45,0.00,0.11,0.40,0.43,0.07,0.6250
0.10,0.40,0.30,0.20,0.13,0.47,0.40,0.00,0.11,0.41,0.33,0.14,0.5067
0.10,0.40,0.20,0.30,0.17,0.55,0.28,0.00,0.11,0.44,0.25,0.20,0.4283
0.10,0.40,0.10,0.40,0.18,0.62,0.20,0.00,0.12,0.45,0.15,0.28,0.3000
0.10,0.40,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.10,0.30,0.60,0.00,0.11,0.30,0.59,0.00,0.10,0.30,0.60,0.00,0.9817
0.10,0.30,0.50,0.10,0.10,0.32,0.58,0.00,0.11,0.31,0.52,0.07,0.6717
0.10,0.30,0.40,0.20,0.11,0.36,0.53,0.00,0.11,0.32,0.43,0.14,0.5333
0.10,0.30,0.30,0.30,0.15,0.44,0.41,0.00,0.12,0.33,0.36,0.20,0.4267
0.10,0.30,0.20,0.40,0.20,0.52,0.28,0.00,0.12,0.36,0.26,0.26,0.3383
0.10,0.30,0.10,0.50,0.16,0.62,0.21,0.01,0.13,0.39,0.14,0.34,0.1967
0.10,0.30,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
0.10,0.20,0.70,0.00,0.11,0.20,0.69,0.00,0.10,0.20,0.70,0.00,0.9900
0.10,0.20,0.60,0.10,0.10,0.22,0.68,0.00,0.10,0.21,0.62,0.07,0.6933
0.10,0.20,0.50,0.20,0.12,0.25,0.63,0.00,0.11,0.22,0.54,0.14,0.5700
0.10,0.20,0.40,0.30,0.13,0.29,0.58,0.00,0.11,0.23,0.46,0.20,0.4800
0.10,0.20,0.30,0.40,0.16,0.29,0.55,0.00,0.12,0.24,0.37,0.27,0.3383
0.10,0.20,0.20,0.50,0.20,0.39,0.38,0.03,0.13,0.26,0.28,0.33,0.2833
0.10,0.20,0.10,0.60,0.18,0.54,0.25,0.03,0.13,0.28,0.19,0.40,0.2017
0.10,0.20,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000
